Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,prereg_experience,dev_experience,dev_reputation_1,report_experience,report_reputation_1,report_reputation_2,prereg_barriers_1,prereg_barriers_2,prereg_barriers_3,report_consequences_1,report_consequences_2,report_consequences_3,assessed_cr_tr_a_1,assessed_cr_tr_a_2,cr_factors_a,tr_factors_a,assessed_cr_tr_b_1,assessed_cr_tr_b_2,cr_factors_b,tr_factors_b,assessed_cr_tr_c_1,assessed_cr_tr_c_2,cr_factors_c,tr_factors_c,fishy_c,assessed_cr_tr_d_1,assessed_cr_tr_d_2,cr_factors_d,tr_factors_d,fishy_d,practices_perception_1,practices_perception_2,practices_perception_3,requirement,guidance,norms,training,research_area,phd_defense,phd_defense_2_TEXT,country,scenario_version
100,405,True,2024-03-12 10:29:18,R_3tfV3ZrfH1byAxP,email,EN,Yes,No,NA,NA,NA,NA,NA,I rather don't agree,I rather don't agree,I rather agree,the same / equally,more,more,NA,NA,NA,NA,80,80,"sample size,study design","sample size,study design",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,49,19,none,none,I don't know,No,Multidisciplinary,Year of my PhD defense:,1984,United Kingdom,B
100,211,True,2024-03-12 10:29:28,R_20BgzgGNr6bF6mh,email,EN,Yes,Yes,Yes,I agree,No,NA,I agree,NA,NA,NA,less,less,less,79,82,"statistical methods,wording of the text","statistical methods,wording of the text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,45,5,my PI or collaborators.,my PI or collaborators.,I don't agree,No,Psychiatry / Psychology,I haven't had a PhD defense,-99,Italy,A
100,511,True,2024-03-12 10:30:11,R_4D1bPbaMBfgCfdS,email,EN,Yes,Yes,Yes,I don't agree,Yes,I agree,NA,NA,NA,NA,more,more,more,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,"research field,sample size,statistical methods,study design,wording of the text","sample size,statistical methods,study design,wording of the text",I didn't notice it,60,50,70,none,none,I don't agree,No,Psychiatry / Psychology,Year of my PhD defense:,2010,uk,D
100,783,True,2024-03-12 10:33:16,R_24l1tM321DCqv3d,email,EN,Yes,Yes,Yes,I don't agree,Yes,I agree,NA,NA,NA,NA,the same / equally,more,more,NA,NA,NA,NA,NA,NA,NA,NA,30,30,"study design,other:","statistical methods,study design",I was indifferent about it,NA,NA,NA,NA,NA,90,20,40,"my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.",none,I rather agree,No,Multidisciplinary,Year of my PhD defense:,2014,France,C
100,475,True,2024-03-12 10:33:43,R_7FA35WKvqRP35uO,email,EN,Yes,Yes,Yes,I don't agree,Yes,I agree,NA,NA,NA,NA,the same / equally,more,more,NA,NA,NA,NA,NA,NA,NA,NA,36,28,"sample size,study design,information about deviations from the original plan",information about deviations from the original plan,I thought it was fishy,NA,NA,NA,NA,NA,86,21,39,"my PI or collaborators.,else:",else:,I agree,Yes,Psychiatry / Psychology,I haven't had a PhD defense,-99,Germany,C
100,592,True,2024-03-12 10:33:57,R_4do6m5whTZLf2Ex,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,the same / equally,more,more,NA,NA,NA,NA,NA,NA,NA,NA,75,70,"sample size,statistical methods,study design,hypotheses,information about preregistration,information about deviations from the original plan","wording of the text,information about preregistration,information about deviations from the original plan",I was indifferent about it,NA,NA,NA,NA,NA,60,72,20,"my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.",none,I rather agree,No,Psychiatry / Psychology,Year of my PhD defense:,2016,Australia,C
100,404,True,2024-03-12 10:35:27,R_7s1zwEFrowsq5xR,email,EN,Yes,Yes,Yes,I don't agree,Yes,I agree,NA,NA,NA,NA,the same / equally,more,more,NA,NA,NA,NA,50,49,"statistical methods,study design,other:","statistical methods,wording of the text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,49,50,"the journal where I would like to submit my paper/I have submitted my paper.,else:","the journal where I would like to submit my paper/I have submitted my paper.,else:",I don't agree,Yes,Clinical Medicine,Year of my PhD defense:,2008,Netherlands,B
100,1139,True,2024-03-12 10:36:59,R_6pllxkDyAk72nvX,email,EN,Yes,Yes,Yes,I don't agree,Yes,I agree,NA,NA,NA,NA,the same / equally,the same / equally,the same / equally,NA,NA,NA,NA,NA,NA,NA,NA,70,70,"sample size,statistical methods,study design,wording of the text,hypotheses,information about preregistration,information about deviations from the original plan,other:","sample size,statistical methods,study design,wording of the text,hypotheses,information about preregistration,information about deviations from the original plan,other:",I thought it was a good decision,NA,NA,NA,NA,NA,100,70,40,else:,"my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.,else:",I don't know,No,Multidisciplinary,Year of my PhD defense:,2011,Argentina,C
100,293,True,2024-03-12 10:37:58,R_3wiWCCT9NlIqU7d,email,EN,Yes,No,NA,NA,NA,NA,NA,I agree,I rather don't agree,I rather agree,less,the same / equally,the same / equally,NA,NA,NA,NA,NA,NA,NA,NA,80,80,"sample size,statistical methods,study design,wording of the text,hypotheses","sample size,statistical methods,study design,wording of the text,hypotheses",I was indifferent about it,NA,NA,NA,NA,NA,70,20,40,none,none,I don't agree,No,Clinical Medicine,Year of my PhD defense:,2022,Sweden,C
100,2226,True,2024-03-12 10:38:42,R_5nvX48gEEdZhKRT,email,EN,Yes,Yes,Yes,I don't agree,Yes,I don't agree,NA,NA,NA,NA,the same / equally,more,more,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,65,"sample size,statistical methods,information about preregistration","statistical methods,study design,wording of the text,information about preregistration,information about deviations from the original plan",I didn't notice it,76,52,29,my PI or collaborators.,my PI or collaborators.,I don't agree,No,Psychiatry / Psychology,Year of my PhD defense:,2019,Spain,D
100,1525,True,2024-03-12 10:42:08,R_55yGFJ3QKRaI8as,email,EN,Yes,No,NA,NA,NA,NA,NA,I rather agree,I rather agree,I don't know,less,less,the same / equally,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,44,"study design,hypotheses,other:",other:,I didn't notice it,85,80,70,else:,else:,I don't know,I don't know,Psychiatry / Psychology,Year of my PhD defense:,2011,Switzerland,D
100,1188,True,2024-03-12 10:50:15,R_3eYpj6zSEcu2z2F,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,the same / equally,more,more,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,65,"sample size,statistical methods,study design,hypotheses,information about deviations from the original plan","statistical methods,study design,information about deviations from the original plan",I thought it was a good decision,71,23,11,"my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.",my PI or collaborators.,I rather agree,No,Clinical Medicine,Year of my PhD defense:,2012,Hungary,D
100,563,True,2024-03-12 10:51:47,R_2RnSeZqja5ETFQt,email,EN,Yes,Yes,Yes,I don't agree,Yes,I agree,NA,NA,NA,NA,the same / equally,more,more,81,40,"sample size,statistical methods,information about preregistration,information about deviations from the original plan,other:","sample size,statistical methods,study design,information about preregistration,information about deviations from the original plan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,40,30,none,none,I don't agree,Yes,Psychiatry / Psychology,I haven't had a PhD defense,-99,Austria,A
100,1606,True,2024-03-12 10:52:06,R_3cww8r5H2L4Piwp,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,more,more,more,NA,NA,NA,NA,70,70,"sample size,statistical methods,study design,information about deviations from the original plan","statistical methods,study design,information about preregistration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,50,70,"my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.",my PI or collaborators.,I rather agree,No,Clinical Medicine,Year of my PhD defense:,2012,Greece,B
100,497,True,2024-03-12 11:00:05,R_4YYr87OwEEfXuid,email,EN,Yes,Yes,Yes,I agree,No,NA,I agree,NA,NA,NA,the same / equally,the same / equally,the same / equally,94,92,"research field,sample size,statistical methods,study design,wording of the text,hypotheses","research field,sample size,statistical methods,study design,wording of the text,hypotheses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,41,35,none,none,I don't agree,No,Other:,I haven't had a PhD defense,-99,Bahaudddin Zakaria university Multan,A
100,2056,True,2024-03-12 11:00:27,R_58qLba5Mlhp2fDP,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,more,more,more,NA,NA,NA,NA,80,80,"sample size,statistical methods,study design,wording of the text,hypotheses,information about preregistration,information about deviations from the original plan","sample size,study design,wording of the text,information about preregistration,information about deviations from the original plan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,25,50,"my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.","my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.",I agree,Yes,Clinical Medicine,Year of my PhD defense:,2007,Denmark,B
100,567,True,2024-03-12 11:06:47,R_5oWl4EZw7Nt94Cl,email,EN,Yes,Yes,I don't know,NA,NA,NA,NA,NA,NA,NA,the same / equally,the same / equally,the same / equally,NA,NA,NA,NA,NA,NA,NA,NA,75,85,"research field,sample size,study design,wording of the text,hypotheses","research field,sample size,statistical methods,wording of the text,hypotheses",I was indifferent about it,NA,NA,NA,NA,NA,80,25,25,none,none,I rather don't agree,I don't know,Other:,Year of my PhD defense:,1997,France,C
100,241,True,2024-03-12 11:09:29,R_2DNCkw2cocKZRbZ,email,EN,Yes,Yes,Yes,I rather don't agree,Yes,I rather agree,NA,NA,NA,NA,less,the same / equally,the same / equally,NA,NA,NA,NA,91,95,"research field,sample size,statistical methods,study design,information about preregistration,information about deviations from the original plan","research field,sample size,statistical methods,study design,wording of the text,information about preregistration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,7,20,"my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.",none,I don't agree,No,Clinical Medicine,Year of my PhD defense:,2017,Germany,B
100,522,True,2024-03-12 11:11:38,R_5fVllfzCfoSQcUJ,email,EN,Yes,Yes,Yes,I don't agree,Yes,I agree,NA,NA,NA,NA,the same / equally,more,more,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,51,"sample size,statistical methods,study design,wording of the text,hypotheses,information about preregistration,information about deviations from the original plan",other:,I thought it was fishy,80,80,31,else:,else:,I don't know,I don't know,Other:,Year of my PhD defense:,2006,United Kingdom,D
100,503,True,2024-03-12 11:16:47,R_3upQuWOCOpYfGtH,email,EN,Yes,Yes,Yes,I don't agree,Yes,I rather agree,NA,NA,NA,NA,less,the same / equally,the same / equally,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,60,"sample size,statistical methods,wording of the text,hypotheses,information about preregistration","statistical methods,wording of the text,information about preregistration",I thought it was fishy,77,66,34,none,none,I agree,No,Social Sciences,Year of my PhD defense:,2016,Germany,D
100,743,True,2024-03-12 11:22:55,R_4O6sPiZWJHp82Pl,email,EN,Yes,Yes,Yes,I don't agree,No,NA,I don't agree,NA,NA,NA,the same / equally,the same / equally,more,73,78,"sample size,statistical methods,study design,hypotheses","sample size,statistical methods,study design,hypotheses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,23,53,none,none,I don't agree,No,Other:,Year of my PhD defense:,2014,Germany,A
100,281,True,2024-03-12 11:26:06,R_210WIW8brUXmLKr,email,EN,Yes,Yes,Yes,I rather don't agree,Yes,I agree,NA,NA,NA,NA,the same / equally,the same / equally,more,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,85,"sample size,statistical methods,study design,hypotheses,information about preregistration,information about deviations from the original plan","wording of the text,information about preregistration,information about deviations from the original plan",I was indifferent about it,70,80,90,"my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.","my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.",I rather agree,No,Psychiatry / Psychology,Year of my PhD defense:,2003,United Kingdom,D
100,3601,True,2024-03-12 11:31:42,R_1AMxiBIvuVNvGMZ,email,EN,Yes,No,NA,NA,NA,NA,NA,I agree,I rather agree,I agree,the same / equally,more,more,80,80,"sample size,statistical methods,study design,hypotheses,other:",other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,10,none,none,I rather agree,Yes,Psychiatry / Psychology,Year of my PhD defense:,2008,Romania,A
100,688,True,2024-03-12 11:37:51,R_1PXm8CDick7XVPH,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,the same / equally,more,more,NA,NA,NA,NA,NA,NA,NA,NA,65,65,"statistical methods,study design,hypotheses","hypotheses,information about preregistration,information about deviations from the original plan",I thought it was a good decision,NA,NA,NA,NA,NA,88,50,20,"my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.",my PI or collaborators.,I rather agree,No,Clinical Medicine,I haven't had a PhD defense,-99,UK,C
100,764,True,2024-03-12 11:38:17,R_18TCdK5hcNQxVTH,email,EN,Yes,Yes,Yes,I don't agree,Yes,I agree,NA,NA,NA,NA,the same / equally,the same / equally,the same / equally,NA,NA,NA,NA,50,100,other:,other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,75,75,the journal where I would like to submit my paper/I have submitted my paper.,none,I don't know,No,Multidisciplinary,Year of my PhD defense:,1973,Italy,B
100,462,True,2024-03-12 11:49:46,R_4Fnqt4BxMccgLXe,email,EN,Yes,No,NA,NA,NA,NA,NA,I rather don't agree,I agree,I rather agree,more,more,more,80,81,"research field,sample size,statistical methods,study design,hypotheses,information about preregistration,information about deviations from the original plan","research field,sample size,statistical methods,study design,hypotheses,information about preregistration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,71,51,"my PI or collaborators.,the funder of my research project.","my PI or collaborators.,the funder of my research project.",I agree,No,Multidisciplinary,Year of my PhD defense:,2013,India,A
100,523,True,2024-03-12 11:55:40,R_5jxCr8jvrCP9ylc,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,the same / equally,more,more,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,56,"wording of the text,information about preregistration,information about deviations from the original plan","wording of the text,information about preregistration,information about deviations from the original plan",I thought it was fishy,32,22,14,"my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.","my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.",I agree,I don't know,Clinical Medicine,I haven't had a PhD defense,-99,United States,D
100,323,True,2024-03-12 11:59:00,R_2FE7Eh5zkiFHzah,email,EN,Yes,Yes,Yes,I rather don't agree,No,NA,I don't know,NA,NA,NA,the same / equally,less,more,NA,NA,NA,NA,67,67,"sample size,statistical methods,study design,wording of the text,hypotheses","statistical methods,wording of the text,hypotheses,information about preregistration,information about deviations from the original plan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,35,30,"my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.",my PI or collaborators.,I agree,I don't know,Clinical Medicine,I haven't had a PhD defense,-99,the Netherlands,B
100,3809,True,2024-03-12 12:00:06,R_2cutvLrHBjsec2B,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,the same / equally,the same / equally,the same / equally,NA,NA,NA,NA,NA,NA,NA,NA,28,47,"statistical methods,study design,information about deviations from the original plan","study design,wording of the text,information about deviations from the original plan",I thought it was fishy,NA,NA,NA,NA,NA,90,18,13,"my PI or collaborators.,the funder of my research project.","my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.",I agree,Yes,Clinical Medicine,Year of my PhD defense:,1992,Italy,C
100,364,True,2024-03-12 12:15:53,R_5n2SD14QlO5yv0c,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,the same / equally,more,more,NA,NA,NA,NA,60,89,"wording of the text,hypotheses,information about preregistration,information about deviations from the original plan","statistical methods,wording of the text,information about preregistration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,40,60,"my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.","my PI or collaborators.,the journal where I would like to submit my paper/I have submitted my paper.",I rather agree,No,Clinical Medicine,I haven't had a PhD defense,-99,Switzerland,B
100,5620,True,2024-03-12 12:22:02,R_2H8hHsYmroIRUhj,email,EN,Yes,Yes,Yes,I don't agree,Yes,I agree,NA,NA,NA,NA,the same / equally,more,more,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,84,"sample size,statistical methods,study design,hypotheses,information about preregistration,information about deviations from the original plan","statistical methods,hypotheses,information about preregistration,information about deviations from the original plan",I thought it was a good decision,90,24,39,none,my PI or collaborators.,I don't agree,No,Multidisciplinary,Year of my PhD defense:,2019,Switzerland,D
100,1072,True,2024-03-12 12:30:01,R_4agEtgvG1Rk4p5I,email,EN,Yes,Yes,Yes,I rather agree,Yes,I agree,NA,NA,NA,NA,less,the same / equally,more,80,80,"sample size,statistical methods,study design,wording of the text,other:","sample size,statistical methods,study design,wording of the text,other:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,70,20,none,none,I don't agree,Yes,Psychiatry / Psychology,Year of my PhD defense:,2017,Germany,A
100,382,True,2024-03-12 12:44:31,R_6woGqASidtJbsgS,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,the same / equally,the same / equally,less,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,78,"sample size,statistical methods,study design,wording of the text,hypotheses,information about deviations from the original plan","study design,wording of the text,information about preregistration,information about deviations from the original plan",I thought it was a good decision,91,51,53,none,none,I rather don't agree,Yes,Social Sciences,Year of my PhD defense:,1996,UK,D
100,603,True,2024-03-12 12:47:18,R_8qzbM1dFDI63zsx,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,the same / equally,more,more,NA,NA,NA,NA,50,50,"research field,sample size,statistical methods,study design,wording of the text,hypotheses,information about preregistration,information about deviations from the original plan","research field,sample size,statistical methods,study design,wording of the text,hypotheses,information about preregistration,information about deviations from the original plan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,70,60,"my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.","my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.",I rather agree,No,Clinical Medicine,Year of my PhD defense:,2003,Italy,B
100,475,True,2024-03-12 12:52:36,R_4Cb9CuARCm1RfLX,email,EN,Yes,Yes,I don't know,NA,NA,NA,NA,NA,NA,NA,the same / equally,the same / equally,the same / equally,NA,NA,NA,NA,NA,NA,NA,NA,82,80,information about deviations from the original plan,information about preregistration,I didn't notice it,NA,NA,NA,NA,NA,82,80,80,my PI or collaborators.,the funder of my research project.,I agree,Yes,Clinical Medicine,Year of my PhD defense:,2006,Taiwan,C
100,558,True,2024-03-12 13:15:08,R_43eYYCWCnChgQ3O,email,EN,Yes,Yes,Yes,I don't agree,Yes,I agree,NA,NA,NA,NA,more,the same / equally,more,50,50,"sample size,statistical methods,study design,hypotheses,information about preregistration","sample size,statistical methods,study design,hypotheses,information about preregistration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,30,84,else:,else:,I rather don't agree,I don't know,Psychiatry / Psychology,I haven't had a PhD defense,-99,Austria,A
100,349,True,2024-03-12 13:18:18,R_20NJc1v4YRALA6E,email,EN,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,the same / equally,more,more,75,81,"research field,statistical methods,study design,hypotheses","wording of the text,information about preregistration,information about deviations from the original plan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,100,30,my PI or collaborators.,none,I rather agree,I don't know,Psychiatry / Psychology,I haven't had a PhD defense,-99,Austria,A
100,671,True,2024-03-12 13:23:56,R_2LJ1dRJBgu0orS1,email,EN,Yes,Yes,Yes,I don't agree,Yes,I rather agree,NA,NA,NA,NA,more,more,more,NA,NA,NA,NA,NA,NA,NA,NA,70,80,"research field,statistical methods,study design,information about preregistration,information about deviations from the original plan","statistical methods,study design,wording of the text,information about preregistration,information about deviations from the original plan",I was indifferent about it,NA,NA,NA,NA,NA,70,85,60,"my PI or collaborators.,the funder of my research project.,the journal where I would like to submit my paper/I have submitted my paper.",none,I agree,No,Clinical Medicine,Year of my PhD defense:,2020,United States,C
100,439,True,2024-03-12 13:30:51,R_3WHCUJOFtlVaOeH,email,EN,Yes,Yes,Yes,I don't agree,Yes,I rather agree,NA,NA,NA,NA,the same / equally,more,more,NA,NA,NA,NA,NA,NA,NA,NA,85,100,"sample size,statistical methods,study design,hypotheses,information about preregistration,information about deviations from the original plan","sample size,statistical methods,study design,wording of the text,hypotheses,information about preregistration,information about deviations from the original plan",I was indifferent about it,NA,NA,NA,NA,NA,90,10,5,none,none,I don't know,No,Clinical Medicine,I haven't had a PhD defense,-99,United States,C
100,323,True,2024-03-12 13:37:19,R_2gPZA1827s6Ga09,email,EN,Yes,No,NA,NA,NA,NA,NA,I rather agree,I rather agree,I agree,less,less,more,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,86,"statistical methods,information about preregistration,information about deviations from the original plan","study design,wording of the text,information about deviations from the original plan",I thought it was a good decision,40,30,60,none,none,I rather agree,I don't know,Clinical Medicine,Year of my PhD defense:,2020,USA,D
100,487,True,2024-03-12 13:50:10,R_2Ve8RqYiKSopz12,email,EN,Yes,No,NA,NA,NA,NA,NA,I rather agree,I don't know,I don't know,the same / equally,the same / equally,the same / equally,100,100,"statistical methods,study design,hypotheses",other:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,33,10,else:,none,I don't know,No,Psychiatry / Psychology,Year of my PhD defense:,2020,Sweden,A
